chip, type, var, external, adc
board_0_hybrid_0_chip_0, VMux, GDAC_L, 0, 2208
board_0_hybrid_0_chip_0, VMux, GDAC_M, 0, 2158
board_0_hybrid_0_chip_0, VMux, GDAC_R, 0, 2172
board_0_hybrid_0_chip_0, VMux, GNDA0, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA1, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA10, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA11, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA2, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA3, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA4, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA5, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA6, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA7, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA8, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA9, 0, 0
board_0_hybrid_0_chip_0, VMux, INJCAP_VDDA_HALF, 0, 2603
board_0_hybrid_0_chip_0, VMux, NTC, 0, 846
board_0_hybrid_0_chip_0, VMux, RADSENS_ACB, 0, 3706
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOA, 0, 3711
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOD, 0, 3702
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_BOTTOM, 0, 1748
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_TOP, 0, 816
board_0_hybrid_0_chip_0, VMux, TEMPSENS_ACB, 0, 1743
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOA, 0, 1711
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOD, 0, 1727
board_0_hybrid_0_chip_0, VMux, VCAL_HIGH, 0, 862
board_0_hybrid_0_chip_0, VMux, VCAL_MED, 0, 112
board_0_hybrid_0_chip_0, VMux, VDDA_HALF, 0, 2610
board_0_hybrid_0_chip_0, VMux, VDDD_HALF, 0, 2637
board_0_hybrid_0_chip_0, VMux, VINA_QUARTER, 0, 1366
board_0_hybrid_0_chip_0, VMux, VIND_QUARTER, 0, 1358
board_0_hybrid_0_chip_0, VMux, VOFS_QUARTER, 0, 1357
board_0_hybrid_0_chip_0, VMux, VREFA, 0, 3104
board_0_hybrid_0_chip_0, VMux, VREFD, 0, 3128
board_0_hybrid_0_chip_0, VMux, VREF_ADC, 0, 4095
board_0_hybrid_0_chip_0, VMux, VREF_CORE, 0, 2436
board_0_hybrid_0_chip_0, VMux, VREF_KRUM, 0, 1914
board_0_hybrid_0_chip_0, VMux, VREF_PRE, 0, 3259
board_0_hybrid_0_chip_0, VMux, VREF_VCAL_DAC, 0, 1063
board_0_hybrid_0_chip_0, IMux, CDR_CP, 0, 69
board_0_hybrid_0_chip_0, IMux, CDR_CPBUFF, 0, 486
board_0_hybrid_0_chip_0, IMux, CDR_CPFD, 0, 998
board_0_hybrid_0_chip_0, IMux, CDR_VCO, 0, 2327
board_0_hybrid_0_chip_0, IMux, CDR_VCOBUFF, 0, 1256
board_0_hybrid_0_chip_0, IMux, CML_BIAS_0, 0, 1231
board_0_hybrid_0_chip_0, IMux, CML_BIAS_1, 0, 0
board_0_hybrid_0_chip_0, IMux, CML_BIAS_2, 0, 0
board_0_hybrid_0_chip_0, IMux, IINA, 0, 582
board_0_hybrid_0_chip_0, IMux, IIND, 0, 394
board_0_hybrid_0_chip_0, IMux, INJ_CAP, 0, 0
board_0_hybrid_0_chip_0, IMux, INJ_CAP_PAR, 0, 0
board_0_hybrid_0_chip_0, IMux, IREF_4UA, 0, 74
board_0_hybrid_0_chip_0, IMux, ISHUNTA, 0, 0
board_0_hybrid_0_chip_0, IMux, ISHUNTD, 0, 0
board_0_hybrid_0_chip_0, IMux, I_COMPARATOR, 0, 249
board_0_hybrid_0_chip_0, IMux, I_COMPARATOR_STAR, 0, 235
board_0_hybrid_0_chip_0, IMux, I_FC, 0, 17
board_0_hybrid_0_chip_0, IMux, I_KRUMMENAKER, 0, 0
board_0_hybrid_0_chip_0, IMux, I_LDAC, 0, 333
board_0_hybrid_0_chip_0, IMux, I_NTC, 0, 236
board_0_hybrid_0_chip_0, IMux, I_PREAMP_L, 0, 721
board_0_hybrid_0_chip_0, IMux, I_PREAMP_M, 0, 701
board_0_hybrid_0_chip_0, IMux, I_PREAMP_R, 0, 729
board_0_hybrid_0_chip_0, IMux, I_PREAMP_T, 0, 748
board_0_hybrid_0_chip_0, IMux, I_PREAMP_TL, 0, 732
board_0_hybrid_0_chip_0, IMux, I_PREAMP_TR, 0, 733
board_0_hybrid_0_chip_1, VMux, GDAC_L, 0, 2218
board_0_hybrid_0_chip_1, VMux, GDAC_M, 0, 2073
board_0_hybrid_0_chip_1, VMux, GDAC_R, 0, 2249
board_0_hybrid_0_chip_1, VMux, GNDA0, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA1, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA10, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA11, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA2, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA3, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA4, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA5, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA6, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA7, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA8, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA9, 0, 0
board_0_hybrid_0_chip_1, VMux, INJCAP_VDDA_HALF, 0, 2623
board_0_hybrid_0_chip_1, VMux, NTC, 0, 988
board_0_hybrid_0_chip_1, VMux, RADSENS_ACB, 0, 3741
board_0_hybrid_0_chip_1, VMux, RADSENS_SLDOA, 0, 3727
board_0_hybrid_0_chip_1, VMux, RADSENS_SLDOD, 0, 3740
board_0_hybrid_0_chip_1, VMux, RPOLYTSENS_BOTTOM, 0, 1732
board_0_hybrid_0_chip_1, VMux, RPOLYTSENS_TOP, 0, 929
board_0_hybrid_0_chip_1, VMux, TEMPSENS_ACB, 0, 1784
board_0_hybrid_0_chip_1, VMux, TEMPSENS_SLDOA, 0, 1757
board_0_hybrid_0_chip_1, VMux, TEMPSENS_SLDOD, 0, 1755
board_0_hybrid_0_chip_1, VMux, VCAL_HIGH, 0, 871
board_0_hybrid_0_chip_1, VMux, VCAL_MED, 0, 123
board_0_hybrid_0_chip_1, VMux, VDDA_HALF, 0, 2599
board_0_hybrid_0_chip_1, VMux, VDDD_HALF, 0, 2648
board_0_hybrid_0_chip_1, VMux, VINA_QUARTER, 0, 1368
board_0_hybrid_0_chip_1, VMux, VIND_QUARTER, 0, 1366
board_0_hybrid_0_chip_1, VMux, VOFS_QUARTER, 0, 1367
board_0_hybrid_0_chip_1, VMux, VREFA, 0, 3196
board_0_hybrid_0_chip_1, VMux, VREFD, 0, 3179
board_0_hybrid_0_chip_1, VMux, VREF_ADC, 0, 4095
board_0_hybrid_0_chip_1, VMux, VREF_CORE, 0, 2447
board_0_hybrid_0_chip_1, VMux, VREF_KRUM, 0, 1801
board_0_hybrid_0_chip_1, VMux, VREF_PRE, 0, 3411
board_0_hybrid_0_chip_1, VMux, VREF_VCAL_DAC, 0, 1064
board_0_hybrid_0_chip_1, IMux, CDR_CP, 0, 73
