chip, type, var, external, adc
board_0_hybrid_0_chip_0, VMux, GDAC_L, 0, 2303
board_0_hybrid_0_chip_0, VMux, GDAC_M, 0, 2293
board_0_hybrid_0_chip_0, VMux, GDAC_R, 0, 2258
board_0_hybrid_0_chip_0, VMux, GNDA0, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA1, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA10, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA11, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA2, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA3, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA4, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA5, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA6, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA7, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA8, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA9, 0, 0
board_0_hybrid_0_chip_0, VMux, INJCAP_VDDA_HALF, 0, 3361
board_0_hybrid_0_chip_0, VMux, NTC, 0, 311
board_0_hybrid_0_chip_0, VMux, RADSENS_ACB, 0, 3350
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOA, 0, 3337
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOD, 0, 3336
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_BOTTOM, 0, 1864
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_TOP, 0, 1001
board_0_hybrid_0_chip_0, VMux, TEMPSENS_ACB, 0, 1590
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOA, 0, 1547
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOD, 0, 1542
board_0_hybrid_0_chip_0, VMux, VCAL_HIGH, 0, 828
board_0_hybrid_0_chip_0, VMux, VCAL_MED, 0, 88
board_0_hybrid_0_chip_0, VMux, VDDA_HALF, 0, 3380
board_0_hybrid_0_chip_0, VMux, VDDD_HALF, 0, 3359
board_0_hybrid_0_chip_0, VMux, VINA_QUARTER, 0, 2300
