chip, type, var, external, adc
board_0_hybrid_0_chip_0, VMux, GDAC_L, 0, 2302
board_0_hybrid_0_chip_0, VMux, GDAC_M, 0, 2288
board_0_hybrid_0_chip_0, VMux, GDAC_R, 0, 2254
board_0_hybrid_0_chip_0, VMux, GNDA0, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA1, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA10, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA11, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA2, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA3, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA4, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA5, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA6, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA7, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA8, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA9, 0, 0
board_0_hybrid_0_chip_0, VMux, INJCAP_VDDA_HALF, 0, 3370
board_0_hybrid_0_chip_0, VMux, NTC, 0, 209
board_0_hybrid_0_chip_0, VMux, RADSENS_ACB, 0, 3199
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOA, 0, 3177
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOD, 0, 3177
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_BOTTOM, 0, 1910
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_TOP, 0, 1020
board_0_hybrid_0_chip_0, VMux, TEMPSENS_ACB, 0, 1516
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOA, 0, 1471
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOD, 0, 1467
board_0_hybrid_0_chip_0, VMux, VCAL_HIGH, 0, 823
board_0_hybrid_0_chip_0, VMux, VCAL_MED, 0, 86
board_0_hybrid_0_chip_0, VMux, VDDA_HALF, 0, 3380
board_0_hybrid_0_chip_0, VMux, VDDD_HALF, 0, 3353
board_0_hybrid_0_chip_0, VMux, VINA_QUARTER, 0, 2487
board_0_hybrid_0_chip_0, VMux, VIND_QUARTER, 0, 2473
board_0_hybrid_0_chip_0, VMux, VOFS_QUARTER, 0, 1371
board_0_hybrid_0_chip_0, VMux, VREFA, 0, 3334
board_0_hybrid_0_chip_0, VMux, VREFD, 0, 3279
board_0_hybrid_0_chip_0, VMux, VREF_ADC, 0, 4095
board_0_hybrid_0_chip_0, VMux, VREF_CORE, 0, 2570
board_0_hybrid_0_chip_0, VMux, VREF_KRUM, 0, 1985
board_0_hybrid_0_chip_0, VMux, VREF_PRE, 0, 3412
board_0_hybrid_0_chip_0, VMux, VREF_VCAL_DAC, 0, 1026
board_0_hybrid_0_chip_0, IMux, CDR_CP, 0, 24
board_0_hybrid_0_chip_0, IMux, CDR_CPBUFF, 0, 415
board_0_hybrid_0_chip_0, IMux, CDR_CPFD, 0, 938
board_0_hybrid_0_chip_0, IMux, CDR_VCO, 0, 2410
board_0_hybrid_0_chip_0, IMux, CDR_VCOBUFF, 0, 1192
board_0_hybrid_0_chip_0, IMux, CML_BIAS_0, 0, 1203
board_0_hybrid_0_chip_0, IMux, CML_BIAS_1, 0, 0
board_0_hybrid_0_chip_0, IMux, CML_BIAS_2, 0, 0
board_0_hybrid_0_chip_0, IMux, IINA, 0, 1865
board_0_hybrid_0_chip_0, IMux, IIND, 0, 1832
board_0_hybrid_0_chip_0, IMux, INJ_CAP, 0, 0
board_0_hybrid_0_chip_0, IMux, INJ_CAP_PAR, 0, 0
board_0_hybrid_0_chip_0, IMux, IREF_4UA, 0, 21
board_0_hybrid_0_chip_0, IMux, ISHUNTA, 0, 782
board_0_hybrid_0_chip_0, IMux, ISHUNTD, 0, 855
board_0_hybrid_0_chip_0, IMux, I_COMPARATOR, 0, 209
board_0_hybrid_0_chip_0, IMux, I_COMPARATOR_STAR, 0, 207
board_0_hybrid_0_chip_0, IMux, I_FC, 0, 0
board_0_hybrid_0_chip_0, IMux, I_KRUMMENAKER, 0, 0
board_0_hybrid_0_chip_0, IMux, I_LDAC, 0, 328
board_0_hybrid_0_chip_0, IMux, I_NTC, 0, 205
board_0_hybrid_0_chip_0, IMux, I_PREAMP_L, 0, 716
board_0_hybrid_0_chip_0, IMux, I_PREAMP_M, 0, 712
board_0_hybrid_0_chip_0, IMux, I_PREAMP_R, 0, 739
board_0_hybrid_0_chip_0, IMux, I_PREAMP_T, 0, 740
board_0_hybrid_0_chip_0, IMux, I_PREAMP_TL, 0, 721
board_0_hybrid_0_chip_0, IMux, I_PREAMP_TR, 0, 738
board_0_hybrid_0_chip_1, VMux, GDAC_L, 0, 2316
board_0_hybrid_0_chip_1, VMux, GDAC_M, 0, 2249
board_0_hybrid_0_chip_1, VMux, GDAC_R, 0, 2275
board_0_hybrid_0_chip_1, VMux, GNDA0, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA1, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA10, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA11, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA2, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA3, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA4, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA5, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA6, 0, 0
