chip, type, var, external, adc
board_0_hybrid_0_chip_0, VMux, GDAC_L, 0, 2317
board_0_hybrid_0_chip_0, VMux, GDAC_M, 0, 2197
board_0_hybrid_0_chip_0, VMux, GDAC_R, 0, 2355
board_0_hybrid_0_chip_0, VMux, GNDA0, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA1, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA10, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA11, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA2, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA3, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA4, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA5, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA6, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA7, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA8, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA9, 0, 0
board_0_hybrid_0_chip_0, VMux, INJCAP_VDDA_HALF, 0, 3081
board_0_hybrid_0_chip_0, VMux, NTC, 0, 833
board_0_hybrid_0_chip_0, VMux, RADSENS_ACB, 0, 3367
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOA, 0, 3356
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOD, 0, 3364
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_BOTTOM, 0, 1681
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_TOP, 0, 904
board_0_hybrid_0_chip_0, VMux, TEMPSENS_ACB, 0, 1630
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOA, 0, 1596
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOD, 0, 1599
board_0_hybrid_0_chip_0, VMux, VCAL_HIGH, 0, 881
board_0_hybrid_0_chip_0, VMux, VCAL_MED, 0, 132
board_0_hybrid_0_chip_0, VMux, VDDA_HALF, 0, 3095
board_0_hybrid_0_chip_0, VMux, VDDD_HALF, 0, 3057
board_0_hybrid_0_chip_0, VMux, VINA_QUARTER, 0, 1838
board_0_hybrid_0_chip_0, VMux, VIND_QUARTER, 0, 1837
board_0_hybrid_0_chip_0, VMux, VOFS_QUARTER, 0, 1264
board_0_hybrid_0_chip_0, VMux, VREFA, 0, 3050
board_0_hybrid_0_chip_0, VMux, VREFD, 0, 3025
board_0_hybrid_0_chip_0, VMux, VREF_ADC, 0, 4095
board_0_hybrid_0_chip_0, VMux, VREF_CORE, 0, 2299
board_0_hybrid_0_chip_0, VMux, VREF_KRUM, 0, 1962
board_0_hybrid_0_chip_0, VMux, VREF_PRE, 0, 3024
board_0_hybrid_0_chip_0, VMux, VREF_VCAL_DAC, 0, 1067
board_0_hybrid_0_chip_0, IMux, CDR_CP, 0, 76
board_0_hybrid_0_chip_0, IMux, CDR_CPBUFF, 0, 465
board_0_hybrid_0_chip_0, IMux, CDR_CPFD, 0, 945
board_0_hybrid_0_chip_0, IMux, CDR_VCO, 0, 2496
board_0_hybrid_0_chip_0, IMux, CDR_VCOBUFF, 0, 1248
board_0_hybrid_0_chip_0, IMux, CML_BIAS_0, 0, 1184
board_0_hybrid_0_chip_0, IMux, CML_BIAS_1, 0, 0
board_0_hybrid_0_chip_0, IMux, CML_BIAS_2, 0, 0
board_0_hybrid_0_chip_0, IMux, IINA, 0, 983
board_0_hybrid_0_chip_0, IMux, IIND, 0, 942
board_0_hybrid_0_chip_0, IMux, INJ_CAP, 0, 0
board_0_hybrid_0_chip_0, IMux, INJ_CAP_PAR, 0, 0
board_0_hybrid_0_chip_0, IMux, IREF_4UA, 0, 74
board_0_hybrid_0_chip_0, IMux, ISHUNTA, 0, 58
board_0_hybrid_0_chip_0, IMux, ISHUNTD, 0, 219
board_0_hybrid_0_chip_0, IMux, I_COMPARATOR, 0, 238
board_0_hybrid_0_chip_0, IMux, I_COMPARATOR_STAR, 0, 278
board_0_hybrid_0_chip_0, IMux, I_FC, 0, 26
board_0_hybrid_0_chip_0, IMux, I_KRUMMENAKER, 0, 0
board_0_hybrid_0_chip_0, IMux, I_LDAC, 0, 319
board_0_hybrid_0_chip_0, IMux, I_NTC, 0, 232
board_0_hybrid_0_chip_0, IMux, I_PREAMP_L, 0, 751
board_0_hybrid_0_chip_0, IMux, I_PREAMP_M, 0, 736
board_0_hybrid_0_chip_0, IMux, I_PREAMP_R, 0, 777
board_0_hybrid_0_chip_0, IMux, I_PREAMP_T, 0, 779
board_0_hybrid_0_chip_0, IMux, I_PREAMP_TL, 0, 740
board_0_hybrid_0_chip_0, IMux, I_PREAMP_TR, 0, 772
board_0_hybrid_0_chip_1, VMux, GDAC_L, 0, 2246
board_0_hybrid_0_chip_1, VMux, GDAC_M, 0, 2295
board_0_hybrid_0_chip_1, VMux, GDAC_R, 0, 2284
board_0_hybrid_0_chip_1, VMux, GNDA0, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA1, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA10, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA11, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA2, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA3, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA4, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA5, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA6, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA7, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA8, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA9, 0, 0
board_0_hybrid_0_chip_1, VMux, INJCAP_VDDA_HALF, 0, 3151
board_0_hybrid_0_chip_1, VMux, NTC, 0, 767
board_0_hybrid_0_chip_1, VMux, RADSENS_ACB, 0, 3327
board_0_hybrid_0_chip_1, VMux, RADSENS_SLDOA, 0, 3319
board_0_hybrid_0_chip_1, VMux, RADSENS_SLDOD, 0, 3325
board_0_hybrid_0_chip_1, VMux, RPOLYTSENS_BOTTOM, 0, 1738
board_0_hybrid_0_chip_1, VMux, RPOLYTSENS_TOP, 0, 974
board_0_hybrid_0_chip_1, VMux, TEMPSENS_ACB, 0, 1607
board_0_hybrid_0_chip_1, VMux, TEMPSENS_SLDOA, 0, 1579
board_0_hybrid_0_chip_1, VMux, TEMPSENS_SLDOD, 0, 1585
board_0_hybrid_0_chip_1, VMux, VCAL_HIGH, 0, 856
board_0_hybrid_0_chip_1, VMux, VCAL_MED, 0, 109
board_0_hybrid_0_chip_1, VMux, VDDA_HALF, 0, 3175
board_0_hybrid_0_chip_1, VMux, VDDD_HALF, 0, 3165
board_0_hybrid_0_chip_1, VMux, VINA_QUARTER, 0, 1810
board_0_hybrid_0_chip_1, VMux, VIND_QUARTER, 0, 1810
board_0_hybrid_0_chip_1, VMux, VOFS_QUARTER, 0, 1220
board_0_hybrid_0_chip_1, VMux, VREFA, 0, 3146
board_0_hybrid_0_chip_1, VMux, VREFD, 0, 3133
board_0_hybrid_0_chip_1, VMux, VREF_ADC, 0, 4095
