chip, type, var, external, adc
board_0_hybrid_0_chip_0, VMux, GDAC_L, 0, 2303
board_0_hybrid_0_chip_0, VMux, GDAC_M, 0, 2291
board_0_hybrid_0_chip_0, VMux, GDAC_R, 0, 2261
board_0_hybrid_0_chip_0, VMux, GNDA0, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA1, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA10, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA11, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA2, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA3, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA4, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA5, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA6, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA7, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA8, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA9, 0, 0
board_0_hybrid_0_chip_0, VMux, INJCAP_VDDA_HALF, 0, 3366
board_0_hybrid_0_chip_0, VMux, NTC, 0, 281
board_0_hybrid_0_chip_0, VMux, RADSENS_ACB, 0, 3318
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOA, 0, 3302
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOD, 0, 3298
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_BOTTOM, 0, 1877
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_TOP, 0, 1004
board_0_hybrid_0_chip_0, VMux, TEMPSENS_ACB, 0, 1573
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOA, 0, 1531
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOD, 0, 1526
board_0_hybrid_0_chip_0, VMux, VCAL_HIGH, 0, 827
board_0_hybrid_0_chip_0, VMux, VCAL_MED, 0, 89
board_0_hybrid_0_chip_0, VMux, VDDA_HALF, 0, 3377
board_0_hybrid_0_chip_0, VMux, VDDD_HALF, 0, 3360
board_0_hybrid_0_chip_0, VMux, VINA_QUARTER, 0, 2348
board_0_hybrid_0_chip_0, VMux, VIND_QUARTER, 0, 2333
board_0_hybrid_0_chip_0, VMux, VOFS_QUARTER, 0, 1374
board_0_hybrid_0_chip_0, VMux, VREFA, 0, 3331
board_0_hybrid_0_chip_0, VMux, VREFD, 0, 3308
board_0_hybrid_0_chip_0, VMux, VREF_ADC, 0, 4095
board_0_hybrid_0_chip_0, VMux, VREF_CORE, 0, 2576
board_0_hybrid_0_chip_0, VMux, VREF_KRUM, 0, 1990
board_0_hybrid_0_chip_0, VMux, VREF_PRE, 0, 3413
board_0_hybrid_0_chip_0, VMux, VREF_VCAL_DAC, 0, 1031
board_0_hybrid_0_chip_0, IMux, CDR_CP, 0, 28
board_0_hybrid_0_chip_0, IMux, CDR_CPBUFF, 0, 415
board_0_hybrid_0_chip_0, IMux, CDR_CPFD, 0, 934
board_0_hybrid_0_chip_0, IMux, CDR_VCO, 0, 2398
board_0_hybrid_0_chip_0, IMux, CDR_VCOBUFF, 0, 1190
board_0_hybrid_0_chip_0, IMux, CML_BIAS_0, 0, 1203
board_0_hybrid_0_chip_0, IMux, CML_BIAS_1, 0, 0
board_0_hybrid_0_chip_0, IMux, CML_BIAS_2, 0, 0
board_0_hybrid_0_chip_0, IMux, IINA, 0, 1617
board_0_hybrid_0_chip_0, IMux, IIND, 0, 1590
board_0_hybrid_0_chip_0, IMux, INJ_CAP, 0, 0
board_0_hybrid_0_chip_0, IMux, INJ_CAP_PAR, 0, 0
board_0_hybrid_0_chip_0, IMux, IREF_4UA, 0, 23
board_0_hybrid_0_chip_0, IMux, ISHUNTA, 0, 544
board_0_hybrid_0_chip_0, IMux, ISHUNTD, 0, 639
board_0_hybrid_0_chip_0, IMux, I_COMPARATOR, 0, 212
board_0_hybrid_0_chip_0, IMux, I_COMPARATOR_STAR, 0, 212
board_0_hybrid_0_chip_0, IMux, I_FC, 0, 0
board_0_hybrid_0_chip_0, IMux, I_KRUMMENAKER, 0, 0
board_0_hybrid_0_chip_0, IMux, I_LDAC, 0, 331
board_0_hybrid_0_chip_0, IMux, I_NTC, 0, 209
board_0_hybrid_0_chip_0, IMux, I_PREAMP_L, 0, 719
board_0_hybrid_0_chip_0, IMux, I_PREAMP_M, 0, 713
board_0_hybrid_0_chip_0, IMux, I_PREAMP_R, 0, 740
board_0_hybrid_0_chip_0, IMux, I_PREAMP_T, 0, 742
board_0_hybrid_0_chip_0, IMux, I_PREAMP_TL, 0, 725
board_0_hybrid_0_chip_0, IMux, I_PREAMP_TR, 0, 740
board_0_hybrid_0_chip_1, VMux, GDAC_L, 0, 2316
board_0_hybrid_0_chip_1, VMux, GDAC_M, 0, 2246
board_0_hybrid_0_chip_1, VMux, GDAC_R, 0, 2274
board_0_hybrid_0_chip_1, VMux, GNDA0, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA1, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA10, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA11, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA2, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA3, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA4, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA5, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA6, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA7, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA8, 0, 0
board_0_hybrid_0_chip_1, VMux, GNDA9, 0, 0
board_0_hybrid_0_chip_1, VMux, INJCAP_VDDA_HALF, 0, 3201
board_0_hybrid_0_chip_1, VMux, NTC, 0, 309
board_0_hybrid_0_chip_1, VMux, RADSENS_ACB, 0, 3219
board_0_hybrid_0_chip_1, VMux, RADSENS_SLDOA, 0, 3196
board_0_hybrid_0_chip_1, VMux, RADSENS_SLDOD, 0, 3209
board_0_hybrid_0_chip_1, VMux, RPOLYTSENS_BOTTOM, 0, 1937
board_0_hybrid_0_chip_1, VMux, RPOLYTSENS_TOP, 0, 973
board_0_hybrid_0_chip_1, VMux, TEMPSENS_ACB, 0, 1521
board_0_hybrid_0_chip_1, VMux, TEMPSENS_SLDOA, 0, 1484
board_0_hybrid_0_chip_1, VMux, TEMPSENS_SLDOD, 0, 1483
board_0_hybrid_0_chip_1, VMux, VCAL_HIGH, 0, 804
board_0_hybrid_0_chip_1, VMux, VCAL_MED, 0, 63
board_0_hybrid_0_chip_1, VMux, VDDA_HALF, 0, 3216
board_0_hybrid_0_chip_1, VMux, VDDD_HALF, 0, 3166
board_0_hybrid_0_chip_1, VMux, VINA_QUARTER, 0, 2197
board_0_hybrid_0_chip_1, VMux, VIND_QUARTER, 0, 2193
board_0_hybrid_0_chip_1, VMux, VOFS_QUARTER, 0, 1269
board_0_hybrid_0_chip_1, VMux, VREFA, 0, 3176
board_0_hybrid_0_chip_1, VMux, VREFD, 0, 3137
board_0_hybrid_0_chip_1, VMux, VREF_ADC, 0, 4095
board_0_hybrid_0_chip_1, VMux, VREF_CORE, 0, 2439
board_0_hybrid_0_chip_1, VMux, VREF_KRUM, 0, 1963
board_0_hybrid_0_chip_1, VMux, VREF_PRE, 0, 3212
board_0_hybrid_0_chip_1, VMux, VREF_VCAL_DAC, 0, 1001
board_0_hybrid_0_chip_1, IMux, CDR_CP, 0, 9
board_0_hybrid_0_chip_1, IMux, CDR_CPBUFF, 0, 441
board_0_hybrid_0_chip_1, IMux, CDR_CPFD, 0, 1008
board_0_hybrid_0_chip_1, IMux, CDR_VCO, 0, 2464
board_0_hybrid_0_chip_1, IMux, CDR_VCOBUFF, 0, 1236
board_0_hybrid_0_chip_1, IMux, CML_BIAS_0, 0, 1201
board_0_hybrid_0_chip_1, IMux, CML_BIAS_1, 0, 0
board_0_hybrid_0_chip_1, IMux, CML_BIAS_2, 0, 0
board_0_hybrid_0_chip_1, IMux, IINA, 0, 1541
board_0_hybrid_0_chip_1, IMux, IIND, 0, 1517
board_0_hybrid_0_chip_1, IMux, INJ_CAP, 0, 0
board_0_hybrid_0_chip_1, IMux, INJ_CAP_PAR, 0, 0
board_0_hybrid_0_chip_1, IMux, IREF_4UA, 0, 12
board_0_hybrid_0_chip_1, IMux, ISHUNTA, 0, 480
board_0_hybrid_0_chip_1, IMux, ISHUNTD, 0, 679
board_0_hybrid_0_chip_1, IMux, I_COMPARATOR, 0, 196
board_0_hybrid_0_chip_1, IMux, I_COMPARATOR_STAR, 0, 197
board_0_hybrid_0_chip_1, IMux, I_FC, 0, 0
board_0_hybrid_0_chip_1, IMux, I_KRUMMENAKER, 0, 0
board_0_hybrid_0_chip_1, IMux, I_LDAC, 0, 314
board_0_hybrid_0_chip_1, IMux, I_NTC, 0, 181
board_0_hybrid_0_chip_1, IMux, I_PREAMP_L, 0, 719
