chip, type, var, external, adc
board_0_hybrid_0_chip_0, VMux, GDAC_L, 0, 2333
board_0_hybrid_0_chip_0, VMux, GDAC_M, 0, 2222
board_0_hybrid_0_chip_0, VMux, GDAC_R, 0, 2369
board_0_hybrid_0_chip_0, VMux, GNDA0, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA1, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA10, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA11, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA2, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA3, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA4, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA5, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA6, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA7, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA8, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA9, 0, 0
board_0_hybrid_0_chip_0, VMux, INJCAP_VDDA_HALF, 0, 3091
board_0_hybrid_0_chip_0, VMux, NTC, 0, 565
board_0_hybrid_0_chip_0, VMux, RADSENS_ACB, 0, 3200
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOA, 0, 3183
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOD, 0, 3194
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_BOTTOM, 0, 1736
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_TOP, 0, 931
board_0_hybrid_0_chip_0, VMux, TEMPSENS_ACB, 0, 1556
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOA, 0, 1516
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOD, 0, 1522
board_0_hybrid_0_chip_0, VMux, VCAL_HIGH, 0, 878
board_0_hybrid_0_chip_0, VMux, VCAL_MED, 0, 131
board_0_hybrid_0_chip_0, VMux, VDDA_HALF, 0, 3098
board_0_hybrid_0_chip_0, VMux, VDDD_HALF, 0, 3061
board_0_hybrid_0_chip_0, VMux, VINA_QUARTER, 0, 2111
board_0_hybrid_0_chip_0, VMux, VIND_QUARTER, 0, 2104
board_0_hybrid_0_chip_0, VMux, VOFS_QUARTER, 0, 1261
board_0_hybrid_0_chip_0, VMux, VREFA, 0, 3055
board_0_hybrid_0_chip_0, VMux, VREFD, 0, 3028
board_0_hybrid_0_chip_0, VMux, VREF_ADC, 0, 4095
board_0_hybrid_0_chip_0, VMux, VREF_CORE, 0, 2286
board_0_hybrid_0_chip_0, VMux, VREF_KRUM, 0, 1965
board_0_hybrid_0_chip_0, VMux, VREF_PRE, 0, 3015
board_0_hybrid_0_chip_0, VMux, VREF_VCAL_DAC, 0, 1064
board_0_hybrid_0_chip_0, IMux, CDR_CP, 0, 72
board_0_hybrid_0_chip_0, IMux, CDR_CPBUFF, 0, 465
board_0_hybrid_0_chip_0, IMux, CDR_CPFD, 0, 948
board_0_hybrid_0_chip_0, IMux, CDR_VCO, 0, 2498
board_0_hybrid_0_chip_0, IMux, CDR_VCOBUFF, 0, 1251
board_0_hybrid_0_chip_0, IMux, CML_BIAS_0, 0, 1186
board_0_hybrid_0_chip_0, IMux, CML_BIAS_1, 0, 0
board_0_hybrid_0_chip_0, IMux, CML_BIAS_2, 0, 0
board_0_hybrid_0_chip_0, IMux, IINA, 0, 1456
board_0_hybrid_0_chip_0, IMux, IIND, 0, 1402
board_0_hybrid_0_chip_0, IMux, INJ_CAP, 0, 0
board_0_hybrid_0_chip_0, IMux, INJ_CAP_PAR, 0, 0
board_0_hybrid_0_chip_0, IMux, IREF_4UA, 0, 69
board_0_hybrid_0_chip_0, IMux, ISHUNTA, 0, 479
board_0_hybrid_0_chip_0, IMux, ISHUNTD, 0, 653
board_0_hybrid_0_chip_0, IMux, I_COMPARATOR, 0, 236
