chip, type, var, external, adc
board_0_hybrid_0_chip_0, VMux, GDAC_L, 0, 2299
board_0_hybrid_0_chip_0, VMux, GDAC_M, 0, 2262
board_0_hybrid_0_chip_0, VMux, GDAC_R, 0, 2263
board_0_hybrid_0_chip_0, VMux, GNDA0, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA1, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA10, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA11, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA2, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA3, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA4, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA5, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA6, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA7, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA8, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA9, 0, 0
board_0_hybrid_0_chip_0, VMux, INJCAP_VDDA_HALF, 0, 3051
board_0_hybrid_0_chip_0, VMux, NTC, 0, 256
board_0_hybrid_0_chip_0, VMux, RADSENS_ACB, 0, 2931
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOA, 0, 2908
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOD, 0, 2894
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_BOTTOM, 0, 1855
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_TOP, 0, 920
board_0_hybrid_0_chip_0, VMux, TEMPSENS_ACB, 0, 1378
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOA, 0, 1335
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOD, 0, 1343
board_0_hybrid_0_chip_0, VMux, VCAL_HIGH, 0, 850
board_0_hybrid_0_chip_0, VMux, VCAL_MED, 0, 95
board_0_hybrid_0_chip_0, VMux, VDDA_HALF, 0, 3070
board_0_hybrid_0_chip_0, VMux, VDDD_HALF, 0, 3056
board_0_hybrid_0_chip_0, VMux, VINA_QUARTER, 0, 2314
board_0_hybrid_0_chip_0, VMux, VIND_QUARTER, 0, 2301
board_0_hybrid_0_chip_0, VMux, VOFS_QUARTER, 0, 1250
board_0_hybrid_0_chip_0, VMux, VREFA, 0, 3010
board_0_hybrid_0_chip_0, VMux, VREFD, 0, 3036
board_0_hybrid_0_chip_0, VMux, VREF_ADC, 0, 4095
board_0_hybrid_0_chip_0, VMux, VREF_CORE, 0, 2330
board_0_hybrid_0_chip_0, VMux, VREF_KRUM, 0, 1962
board_0_hybrid_0_chip_0, VMux, VREF_PRE, 0, 3077
board_0_hybrid_0_chip_0, VMux, VREF_VCAL_DAC, 0, 1042
board_0_hybrid_0_chip_0, IMux, CDR_CP, 0, 41
