chip, type, var, external, adc
board_0_hybrid_0_chip_0, VMux, GDAC_L, 0, 2298
board_0_hybrid_0_chip_0, VMux, GDAC_M, 0, 2258
board_0_hybrid_0_chip_0, VMux, GDAC_R, 0, 2261
board_0_hybrid_0_chip_0, VMux, GNDA0, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA1, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA10, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA11, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA2, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA3, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA4, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA5, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA6, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA7, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA8, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA9, 0, 0
board_0_hybrid_0_chip_0, VMux, INJCAP_VDDA_HALF, 0, 3058
board_0_hybrid_0_chip_0, VMux, NTC, 0, 294
board_0_hybrid_0_chip_0, VMux, RADSENS_ACB, 0, 3086
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOA, 0, 3064
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOD, 0, 3068
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_BOTTOM, 0, 1826
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_TOP, 0, 908
board_0_hybrid_0_chip_0, VMux, TEMPSENS_ACB, 0, 1456
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOA, 0, 1411
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOD, 0, 1422
board_0_hybrid_0_chip_0, VMux, VCAL_HIGH, 0, 854
board_0_hybrid_0_chip_0, VMux, VCAL_MED, 0, 95
board_0_hybrid_0_chip_0, VMux, VDDA_HALF, 0, 3066
board_0_hybrid_0_chip_0, VMux, VDDD_HALF, 0, 3060
board_0_hybrid_0_chip_0, VMux, VINA_QUARTER, 0, 2104
